rider_name,velocategory,veloscore,zwift_id,team,team_color,team_bg,stage1_time,stage1_veloscore,stage1_velocategory,stage2_time,stage2_veloscore,stage2_velocategory,stage3_time,stage3_veloscore,stage3_velocategory,stage4_time,stage4_veloscore,stage4_velocategory,stage5_time,stage5_veloscore,stage5_velocategory,gc_time
Markus Schweizer,1,3536,6863000,WEz pb Cycling District,ffffff,4e4e4e,00:31:58,3531,1,00:48:22,3536,1,00:13:32,3536,1,-,-,-,-,-,-,01:33:52
Brandon Quinton,1,2251,7250325,-,00dd00,,00:32:32,2251,1,-,-,-,-,-,-,-,-,-,-,-,-,00:32:32
Mads Buster,1,2920,4860176,SISU Racing,ffffff,1f1582,00:33:01,2920,1,-,-,-,-,-,-,-,-,-,-,-,-,00:33:01
Andr&eacute;  Jones (A-P-V),2,2049,5428334,A-P-V,ffffff,0073b7,00:33:01,2049,2,-,-,-,-,-,-,-,-,-,-,-,-,00:33:01
Akira  CafeLatte,2,2173,1377319,-,00dd00,,00:33:01,2173,2,-,-,-,-,-,-,-,-,-,-,-,-,00:33:01
Martin Coffey,1,2460,3428761,A-P-V,ffffff,0073b7,00:33:02,2460,1,-,-,-,-,-,-,-,-,-,-,-,-,00:33:02
Mike Leahy,2,1966,5977246,-,00dd00,,00:33:02,1966,2,-,-,-,-,-,-,-,-,-,-,-,-,00:33:02
Ben  Spedding [TNP],2,2049,5959135,Team Not Pogi,ff0000,ffffff,00:33:10,2008,2,00:51:47,2053,2,00:17:19,2049,2,-,-,-,-,-,-,01:42:16
Garth Haigh,2,1925,1070115,ZSUNR,ffd808,1c1300,00:35:38,1925,2,-,-,-,-,-,-,-,-,-,-,-,-,00:35:38
Abdullah Ak&ccedil;am,3,1848,6730421,Zwift TURKIYE,ffffff,fa000c,00:37:50,1848,3,-,-,-,-,-,-,-,-,-,-,-,-,00:37:50
Andrew Stamp(RollCo),4,1625,7166418,RollCo,8b5cf6,f2f0ef,00:36:52,1618,4,00:52:09,1625,4,-,-,-,-,-,-,-,-,-,01:29:01
Phil Cox (TNP),4,1398,5277640,Team Not Pogi,ff0000,ffffff,00:42:47,1450,4,01:47:04,1406,5,00:21:41,1398,5,-,-,-,-,-,-,02:51:32
Olivier Simonin,6,1167,7229860,-,00dd00,,00:38:03,1086,7,00:55:06,1106,7,00:19:42,1167,6,-,-,-,-,-,-,01:52:51
Simon Baker,5,1355,9152,Team Not Pogi,ff0000,ffffff,00:39:23,1332,5,00:53:36,1348,5,00:19:21,1355,5,-,-,-,-,-,-,01:52:20
Roberto Delgado Hynes,5,1360,6786487,Team Not Pogi,ff0000,ffffff,00:39:47,1360,5,-,-,-,-,-,-,-,-,-,-,-,-,00:39:47
Evan  Carouchio,7,1081,1087000,-,00dd00,,00:41:56,1090,7,00:58:18,1081,7,-,-,-,-,-,-,-,-,-,01:40:14
Mark SMITH6725,5,1378,1448728,CTT,ffffff,0073b7,00:44:34,1378,5,-,-,-,-,-,-,-,-,-,-,-,-,00:44:34
Sam Godfrey,6,1167,7559643,-,00dd00,,00:45:18,1167,6,-,-,-,-,-,-,-,-,-,-,-,-,00:45:18
Rikke Rasmussen #DBM#,10,612,5302599,DBM,ffffff,0073b7,00:48:09,612,10,-,-,-,-,-,-,-,-,-,-,-,-,00:48:09
Stuart Haigh,10,267,1500543,-,00dd00,,00:58:31,267,10,-,-,-,-,-,-,-,-,-,-,-,-,00:58:31
